Year,CLO1,CLO2,CLO3,CLO4,CLO5,CLO6,CLO7,CLO8,CLO9
2000,90,77,50,95,98,90,91,99,88
2001,91,35,94,89,96,92,92,88,88
2002,95,95,95,86,96,50,90,88,81
2003,89,95,86,40,89,94,95,81,85
2004,86,97,90,98,42,95,99,85,33
2005,40,93,91,96,95,86,88,33,86
2006,98,91,95,96,95,90,88,86,94
2007,96,90,89,89,95,91,81,94,95
2008,96,92,86,77,97,95,85,95,96
2009,89,50,40,86,93,89,33,96,97
2010,77,94,98,95,91,86,86,97,92
2011,35,95,96,95,90,40,94,95,90
2012,95,86,96,97,92,91,95,99,95
2013,95,90,89,93,50,92,96,20,99
2014,97,91,77,91,94,90,97,96,88
2015,93,95,35,90,95,95,95,91,88
2016,91,89,95,92,86,99,99,92,81
2017,90,86,95,50,90,88,20,90,30
2018,92,40,97,94,91,88,96,95,88
2019,50,98,93,95,95,81,93,99,98
2020,94,96,91,86,89,85,94,88,89
2021,95,96,90,90,86,33,91,88,86
2022,86,89,92,91,40,86,90,81,89
